o1,o1.cpus,o1.min_memory,o1.priority,o1.command,o1.state,o1.work_dir,o2,o2.cpu_load,o2.free_mem,o2.cpu,o2.state,e1
59910743,16,2540M,,batch_script.sh,RUNNING,/rwthfs/rz/cluster/hpcwork/rwth1882/03 fluent/FVC/case1-test/case1-dilution,host_n23m0035,64.35,206722,96,"""alloc""",submit-59910743-0
59910743,16,2540M,,batch_script.sh,RUNNING,/rwthfs/rz/cluster/hpcwork/rwth1882/03 fluent/FVC/case1-test/case1-dilution,host_n23m0035,64.35,206722,96,"""alloc""",start-59910743-1
59907933,16,128G,,deepvariant_caller.sh,RUNNING,/rwthfs/rz/cluster/hpcwork/rwth1795,host_n23m0084,56.93,349165,96,"""alloc""",submit-59907933-0
59907933,16,128G,,deepvariant_caller.sh,RUNNING,/rwthfs/rz/cluster/hpcwork/rwth1795,host_n23m0084,56.93,349165,96,"""alloc""",start-59907933-1
59905448,48,5210M,,script_coverage_rate.sh,RUNNING,/rwthfs/rz/cluster/home/da516630/Schreibtisch/problemdriven_clustering/src/dsm/BA_Konrad,host_n23m0148,8.27,468868,96,"""alloc""",start-59905448-1
59905448,48,5210M,,script_coverage_rate.sh,RUNNING,/rwthfs/rz/cluster/home/da516630/Schreibtisch/problemdriven_clustering/src/dsm/BA_Konrad,host_n23m0148,8.27,468868,96,"""alloc""",submit-59905448-0
59912508,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0038,82.76,449741,96,"""alloc""",cancelled-_59912508-0
59912508,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0038,82.76,449741,96,"""alloc""",start-59912508-1
59912508,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0038,82.76,449741,96,"""alloc""",submit-59912508-0
59912508,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0038,82.76,449741,96,"""alloc""",ending-_59912508-0
59912563,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0292,69.45,207940,96,"""alloc""",cancelled-_59912563-0
59912563,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0292,69.45,207940,96,"""alloc""",start-59912563-1
59912563,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0292,69.45,207940,96,"""alloc""",ending-_59912563-0
59912563,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0292,69.45,207940,96,"""alloc""",submit-59912563-0
59913226,1,2G,,run_pythia8_rivet.sh,RUNNING,/rwthfs/rz/cluster/work/ng762505/ttXX/stable_tt/5FS/ttbb_pythia,host_n23m0399,62.71,231985,96,"""alloc""",submit-59913226-0
